result, time
4412,28087.0
4317,28712.0
5109,28713.0
4558,28715.0
4395,28087.0
4456,28084.0
4443,28714.0
4720,28488.0
4229,28715.0
4752,28085.0
4258,28315.0
4637,28714.0
4468,28316.0
3821,28315.0
4205,28715.0
4393,28715.0
4415,28714.0
4710,28315.0
4635,28714.0
4657,28713.0
4659,28487.0
4185,28489.0
4516,28712.0
4402,28489.0
4696,28713.0
4252,28487.0
4826,28715.0
4514,28316.0
4278,28714.0
3966,28713.0
4877,27779.0
4581,28315.0
4251,28489.0
4701,28316.0
4733,28315.0
4834,28617.0
3890,28714.0
4506,28315.0
4198,28617.0
4450,28487.0
4608,28713.0
4675,28615.0
4431,28712.0
4675,28716.0
4227,28715.0
4568,28714.0
4364,28489.0
4553,28714.0
4074,28487.0
4539,28314.0
4754,28617.0
4669,28314.0
4212,28304.0
4540,28307.0
4370,28711.0
4329,28712.0
4685,28714.0
4412,27779.0
4231,28316.0
4206,28314.0
4285,28486.0
4133,28714.0
4230,28713.0
4191,28618.0
4697,28714.0
4948,28616.0
4184,28617.0
4721,28488.0
4626,28488.0
4651,28618.0
4451,28487.0
4401,27779.0
4132,28316.0
4658,27779.0
3929,28713.0
4697,28085.0
4538,28316.0
4099,28316.0
4281,27779.0
3951,28713.0
4276,28617.0
4461,28713.0
4788,28316.0
4344,28616.0
4270,28714.0
4132,28715.0
4251,28616.0
4182,27371.0
4678,28489.0
4324,28712.0
4469,28713.0
4306,28713.0
4626,28714.0
4196,28715.0
4363,28714.0
4441,28715.0
4181,28617.0
4236,28713.0
4299,28616.0
4924,27373.0
