result, time
73307,28127.0
76112,28637.0
76003,28631.0
79904,26735.0
77964,28631.0
78978,28630.0
77607,28014.0
77879,28634.0
76815,28630.0
74440,28633.0
79133,28140.0
79755,28579.0
81427,28499.0
79743,28338.0
75379,28344.0
76935,28632.0
76579,28006.0
79765,28419.0
75509,28224.0
78806,28337.0
79424,28497.0
77544,28631.0
78156,28126.0
77156,28633.0
76712,28417.0
81311,28635.0
78467,27852.0
83788,28342.0
75936,28632.0
76550,28634.0
77595,28578.0
74367,28631.0
80673,28632.0
78533,28233.0
81428,28559.0
73826,28635.0
79149,28635.0
74270,27851.0
81820,28636.0
80560,28633.0
75929,27996.0
80147,28557.0
78828,27856.0
77282,28130.0
81511,28127.0
75986,28501.0
80547,28637.0
78898,28634.0
77724,28349.0
77507,28112.0
80456,28629.0
78801,28503.0
76099,28640.0
80070,28006.0
75833,27023.0
72707,28251.0
78420,28638.0
78525,28426.0
77679,28634.0
80595,28428.0
73265,28634.0
74863,28348.0
77984,28631.0
83235,28635.0
79524,28333.0
75672,27273.0
79670,28336.0
77955,28630.0
77824,28629.0
77924,28425.0
75968,28236.0
74728,28635.0
78427,28242.0
80370,27501.0
75746,28436.0
75531,28635.0
77536,28132.0
79911,28503.0
79873,28121.0
78332,28001.0
80589,28505.0
78275,28434.0
79137,28337.0
76275,28425.0
80429,27006.0
77000,28573.0
75605,28630.0
77790,28637.0
75296,28241.0
73816,28631.0
77868,28633.0
76413,28636.0
74865,28557.0
79221,28504.0
75218,28625.0
75079,28132.0
73387,28001.0
78020,27025.0
78117,28247.0
77672,28638.0
